LINK_ID,F_NODE,T_NODE,L1,L2,L3,L4,L5,L6,CHK
3880857201,3880251000,3880251900,3880816600, , , , , ,1
3880857301,3880251900,3880251000,3880684200, , , , , ,1
3880857001,3880300201,3880299401,3880854301,3880854601,3880853801, , , ,1
3880857101,3880299401,3880300201,3880857001, , , , , ,2
3880858701,3880295301,3880300601,3880858401,3880858001, , , , ,1
3880858601,3880300601,3880295301,3880845101, , , , , ,1
3880858401,3880300601,3880002200,3880858301,3880004700,3880139700, , , ,1
3880858501,3880002200,3880300601,3880858601,3880858001, , , , ,1
3880857501,3880043800,3880300301,3880857601, , , , , ,1
3880857401,3880300301,3880043800,3880006404,3880139800, , , , ,1
3880857601,3880300301,3880300401,3880857901,3880858101, , , , ,1
3880857701,3880300401,3880300301,3880857401, , , , , ,1
3880857901,3880300401,3880300501,3880858201, , , , , ,1
3880857801,3880300501,3880300401,3880857701,3880858101, , , , ,1
3880858301,3880002200,3880300501,3880857801, , , , , ,1
3880858201,3880300501,3880002200,3880858501,3880004700,3880139700, , , ,1
3880858101,3880300401,3880300601,3880858601,3880858401, , , , ,1
3880858001,3880300601,3880300401,3880857701,3880857901, , , , ,1
3880852101,3880298301,3880045400,3880851001,3880130300, , , , ,1
3880848901,3880297201,3880297301,3880849301, , , , , ,1
3880849101,3880297201,3880297501,1961185201,3880849501, , , , ,1
3880849001,3880297501,3880297201,3880848901, , , , , ,1
1451197101,1450019101,1450432901,1451197301,1451196901, , , , ,1
1451197201,1450432901,1450019101,1450051702,1451066300, , , , ,1
1451197301,1450432901,1450019100,1451197401, , , , , ,2
1451197401,1450019100,1450432901,1451197201,1451196901, , , , ,1
1451196901,1450432901,1450432801,1451196801, , , , , ,1
1451197001,1450432801,1450432901,1451197201,1451197301, , , , ,1
1451196801,1450432801,1400090301,1451196701, , , , , ,2
1451196701,1400090301,1450432801,1451197001, , , , , ,1
3860503601,3880297601,3860204801,3860503701, , , , , ,2
1961185301,1960463601,3880297501,3880849001,3880849501, , , , ,1
1961185201,3880297501,1960463601,1961185301, , , , , ,2
3880849501,3880297501,3880015400,3880030609, , , , , ,1
3880849401,3880015400,3880297501,3880849001,1961185201, , , , ,1
3880849701,3880297701,3880297401,3880849201,3880864401, , , , ,1
3880849201,3880297401,3880297301,3880848801, , , , , ,1
3880849301,3880297301,3880297401,3880864401, , , , , ,1
3880848801,3880297301,3880297201,3880849101, , , , , ,1
1961185401,3880297701,1960463501,1961185601, , , , , ,1
1961185501,1960463501,3880297701,3880849701,3880864801, , , , ,1
1961185601,1960463501,1960464201,1961185701, , , , , ,2
1961185701,1960464201,1960463501,1961185501, , , , , ,1
1961187001,1960464301,1960317300,1960743600,1961175500, , , , ,1
1961187101,1960317300,1960464301,1961187001, , , , , ,2
3860503701,3860204801,3880297601,3880864501, , , , , ,1
3880851001,3880045400,3880298201,3880851401, , , , , ,1
3880851101,3880298201,3880045400,3880130300,3880852001, , , , ,1
3880850801,3880003300,3880298101,3880850601, , , , , ,1
3880850901,3880298101,3880003300,3880008100,3880130000, , , , ,1
3880850601,3880298101,3880298001,3880850401, , , , , ,1
3880850701,3880298001,3880298101,3880850901, , , , , ,1
3880850401,3880298001,3880297901,3880850001, , , , , ,1
3880850501,3880297901,3880298001,3880850701, , , , , ,1
3880850001,3880297901,3880297801,3880850201, , , , , ,1
3880850101,3880297801,3880297901,3880850501, , , , , ,1
3880850201,3880297801,3880041200,3880841300,3880317601, , , , ,1
3880850301,3880041200,3880297801,3880850101, , , , , ,1
3880851501,3880298301,3880298201,3880851101, , , , , ,1
3880851401,3880298201,3880298301,3880852101, , , , , ,1
3880843401,3880044900,3880001500,3880843201,3880003300,3880124701, , , ,1
3880843501,3880001500,3880044900,3880132200, , , , , ,1
3880843201,3880001500,3880295601,3880842601,3880851901, , , , ,1
3880843301,3880295601,3880001500, , , , , , ,3
3880842601,3880295601,3880295201,3880842401,3880842801, , , , ,1
3880842701,3880295201,3880295601,3880843301,3880851901, , , , ,1
3880842501,3880041500,3880295201,3880842701,3880842801, , , , ,1
3880842401,3880295201,3880041500,3880118200,3880118300, , , , ,1
3880842801,3880295201,3880041501,3880118902, , , , , ,1
3880842901,3880041501,3880295201,3880842701,3880842401, , , , ,1
3880844201,3880013203,3880295801,3880844301, , , , , ,2
3880844301,3880295801,3880013203,3880027804,3880552800, , , , ,1
3880845701,3880275800,3880296001,3880845201, , , , , ,1
3880845601,3880296001,3880275800,3880746200,3880851601, , , , ,1
3880845201,3880296001,3880295401,3880845001,3880851701, , , , ,1
3880845301,3880295401,3880296001,3880845601, , , , , ,1
3880845001,3880295401,3880295301,3880858701, , , , , ,1
3880845101,3880295301,3880295401,3880845301,3880851701, , , , ,1
3880843801,3880286800,3880295701,3880843601,3880844501, , , , ,1
3880843901,3880295701,3880286800,3880772800, , , , , ,1
3880844601,3880295901,3880044100,3880139100,3880139400,3880395900, , , ,1
3880844701,3880044100,3880295901,3880844601, , , , , ,2
3880843601,3880295701,3880004700,3880105300,3880116100,3880773300, , , ,1
3880843701,3880004700,3880295701,3880843901,3880844501, , , , ,1
3880844501,3880295701,3880005200,3880105401,3880115401,3880116000, , , ,1
3880844401,3880005200,3880295701,3880843901,3880843601, , , , ,1
3880844801,3880157502,3880158701,3880403102,3880762900,3880403402, , , ,1
3880844901,3880158701,3880157502,3880831700,3880403304,3880403504, , , ,1
3880778900,3880289100,3880289500,3880779000,3880779300, , , , ,1
3880779000,3880289500,3880289000,3880777400,3880777600, , , , ,1
3880779100,3880289000,3880289500,3880779300,3880778800, , , , ,1
3880779200,3880289600,3880289500,3880779000,3880778800, , , , ,1
3880779300,3880289500,3880289600,3880779400,3880779700, , , , ,1
3880779400,3880289600,3880289200,3880778000,3880778300, , , , ,1
3880779500,3880289200,3880289600,3880779200,3880779700, , , , ,1
3880779600,3880289700,3880289600,3880779200,3880779400, , , , ,1
3880779700,3880289600,3880289700,3880779800,3880780000, , , , ,1
3880779800,3880289700,3880289400,3880778400,3880778600, , , , ,1
3880779900,3880289400,3880289700,3880779600,3880780000, , , , ,1
3880780000,3880289700,3880289300,3880778200,3880778500, , , , ,1
3880780100,3880289300,3880289700,3880779600,3880779800, , , , ,1
3880780200,3880290500,3880290400,3880780700,3880782400, , , , ,1
3880780300,3880290400,3880290500,3880780500,3880838900, , , , ,1
3880780400,3880290600,3880290500,3880780200,3880838900, , , , ,1
3880780500,3880290500,3880290600,3880780400, , , , , ,2
3880780600,3880292100,3880290400,3880780300,3880782400, , , , ,1
3880780700,3880290400,3880292100,3880785900,3880785600,3880839100, , , ,1
3880780800,3880292200,3880290300,3880782200,3880782500, , , , ,1
3880780900,3880290300,3880292200,3880786300,3880785800, , , , ,1
3880781000,3880289900,3880289800,3880781900,3880836800, , , , ,1
3880781100,3880289800,3880289900,3880781300,3880837000, , , , ,1
3880781200,3880290000,3880289900,3880781000,3880837000, , , , ,1
3880781300,3880289900,3880290000,3880781400,3880781700,3880782100, , , ,1
3880781400,3880290000,3880002100,3880004402,3880004901,3880119600,3880125403, , ,1
3880781500,3880002100,3880290000,3880781200,3880781700,3880782100, , , ,1
3880781600,3880290100,3880290000,3880781200,3880781400,3880782100, , , ,1
3880781700,3880290000,3880290100,3880781800,3880782300, , , , ,1
3880781800,3880290100,3880289800,3880781100,3880836800, , , , ,1
3880781900,3880289800,3880290100,3880781600,3880782300, , , , ,1
3880782000,3880290200,3880290000,3880781200,3880781400,3880781700, , , ,1
3880782100,3880290000,3880290200,3880782000, , , , , ,2
3880782200,3880290300,3880290100,3880781600,3880781800, , , , ,1
3880782300,3880290100,3880290300,3880780900,3880782500, , , , ,1
